id,question,correct_answer,majority_answer,is_accurate,consistency_score,unknown_rate,dataset,model,ans_original,correct_original,ans_formal,correct_formal,ans_simplified,correct_simplified,ans_roleplay,correct_roleplay,ans_direct,correct_direct
0,Major mechanism of action of nitrates in acute attack of angina is:,B,A,False,1.0,0.0,medmcqa,llama3.2,A,False,A,False,A,False,A,False,A,False
1,MHC Class II proteins are expressed by:,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
2,A couple comes for evaluation of infeility. The HSG was normal but semen analysi,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
3,Vwf factor is produced by:,B,B,True,0.8,0.0,medmcqa,llama3.2,B,True,B,True,B,True,A,False,B,True
4,"Patient had a A and put on mechanical ventilation, he is opening his eyes on ver",A,B,False,0.6,0.0,medmcqa,llama3.2,B,False,A,True,B,False,B,False,C,False
5,Sugar restricted to diet was beneficial in presence of unfavorable hygiene was f,A,C,False,1.0,0.0,medmcqa,llama3.2,C,False,C,False,C,False,C,False,C,False
6,In hemorrhage lost plasma is replaced by:,B,C,False,0.8,0.0,medmcqa,llama3.2,C,False,C,False,C,False,A,False,C,False
7,Which of the following is not a small round cell tumor?,D,B,False,0.6,0.0,medmcqa,llama3.2,B,False,D,True,B,False,D,True,B,False
8,"A patient was schedule for surgery. Before giving anaesthesia, he was administer",B,B,True,1.0,0.0,medmcqa,llama3.2,B,True,B,True,B,True,B,True,B,True
9,Which of the following is not characteristic feature of Binder syndrome?,D,D,True,0.6,0.0,medmcqa,llama3.2,D,True,A,False,D,True,A,False,D,True
10,A 25 yr old person with history of repeated episodes of rheumatic fever is hyper,B,C,False,0.6,0.0,medmcqa,llama3.2,C,False,C,False,B,True,B,True,C,False
11,Interruption of the optic chiasm will lead to:,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
12,An infant presented with the following lesions on his face and limbs. Which of t,C,A,False,1.0,0.0,medmcqa,llama3.2,A,False,A,False,A,False,A,False,A,False
13,A Female patient was brought to the ER with altered sensorium. On examination BP,A,A,True,0.6,0.0,medmcqa,llama3.2,A,True,A,True,C,False,A,True,C,False
14,"All the statements are true about standardization, except",B,B,True,0.6,0.0,medmcqa,llama3.2,B,True,A,False,B,True,A,False,B,True
15,Bite cells are seen in,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
16,"In a patient with fresh blow out fracture of the orbit, best immediate managemen",A,A,True,0.8,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,B,False
17,Cross-sectional studies are carried on,D,A,False,0.4,0.0,medmcqa,llama3.2,D,True,A,False,C,False,A,False,C,False
18,Drug adveisement letter is a necessary component of each drug formulation and co,B,A,False,0.6,0.0,medmcqa,llama3.2,D,False,A,False,A,False,A,False,D,False
19,Epidural hematoma is caused by,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
20,Anthracis causes which pulmonary manifestations-,B,B,True,0.6,0.0,medmcqa,llama3.2,B,True,B,True,A,False,B,True,D,False
21,Phenol red thread test is used for dry eye:,A,A,True,1.0,0.0,medmcqa,llama3.2,A,True,A,True,A,True,A,True,A,True
22,The proximal walls of a class II cavity on a deciduous molar:,B,A,False,0.8,0.0,medmcqa,llama3.2,A,False,A,False,A,False,A,False,C,False
23,Percentage of surgical site infection in patients with clean contaminated wound ,B,B,True,0.8,0.0,medmcqa,llama3.2,B,True,B,True,B,True,A,False,B,True
24,The key ridge useful in assessing malocclusion is present on:,B,B,True,0.6,0.0,medmcqa,llama3.2,B,True,A,False,B,True,A,False,B,True
25,"Regarding Influenza, not true statement is",C,C,True,0.6,0.0,medmcqa,llama3.2,C,True,B,False,A,False,C,True,C,True
26,Which of the following hormone is/are under inhibitory of hypothalamus?,D,D,True,0.4,0.0,medmcqa,llama3.2,D,True,A,False,B,False,A,False,D,True
27,After spleenectomy patient becomes more prone to,D,B,False,0.8,0.0,medmcqa,llama3.2,B,False,B,False,B,False,A,False,B,False
28,Increase in muscle mass at adolescence is probably caused by –,C,C,True,1.0,0.0,medmcqa,llama3.2,C,True,C,True,C,True,C,True,C,True
29,A 7-years child having very deep carious lesions in multiple teeth with no pain ,A,A,True,0.6,0.0,medmcqa,llama3.2,A,True,C,False,B,False,A,True,A,True
30,10-year-old boy visits dentist with complicated crown fracture with abscess form,B,A,False,0.6,0.0,medmcqa,llama3.2,B,True,A,False,A,False,A,False,B,True
